transaction_id,customer_id,timestamp,amount,payment_method,product_category,device_type,billing_country,customer_email,is_fraud
tx_000001_3634,cust_3170,2026-08-06 07:53:02Z,145.05,apple_pay,fashion,mobile_ios,CA,morgan_1@yahoo.com,false
tx_000002_3654,cust_1299,2026-09-04 15:01:25Z,100.63,debit_card,fashion,mobile_android,US,morgan_2@yahoo.com,false
tx_000003_9731,cust_2584,2026-08-15 00:10:39Z,60.73,paypal,home_living,mobile_ios,IN,sam_3@yahoo.com,false
tx_000004_1727,cust_4048,2026-09-02 09:12:30Z,96.98,apple_pay,beauty_health,mobile_android,CA,jordan_4@yahoo.com,false
tx_000005_6805,cust_3046,2026-08-12 21:53:24Z,133.94,credit_card,beauty_health,desktop_windows,GB,alex_5@yahoo.com,false
tx_000006_9539,cust_3053,2026-08-21 14:17:01Z,101.81,paypal,sports_outdoors,desktop_windows,US,jordan_6@yahoo.com,false
tx_000007_8400,cust_4533,2026-08-06 06:25:39Z,89.34,credit_card,electronics,mobile_android,FR,cameron_7@icloud.com,false
tx_000008_8364,cust_2345,2026-08-08 03:06:10Z,53.16,apple_pay,home_living,mobile_android,IN,cameron_8@outlook.com,false
tx_000009_7254,cust_3914,2026-08-08 21:10:09Z,121.05,debit_card,sports_outdoors,desktop_windows,DE,riley_9@gmail.com,false
tx_000010_4419,cust_1742,2026-08-16 02:32:36Z,137.25,apple_pay,sports_outdoors,desktop_windows,FR,cameron_10@icloud.com,false
tx_000011_8920,cust_2400,2026-08-24 22:59:59Z,69.47,credit_card,sports_outdoors,desktop_mac,GB,sam_11@icloud.com,false
tx_000012_9034,cust_2733,2026-08-11 04:21:50Z,211.56,debit_card,fashion,desktop_windows,US,jordan_12@icloud.com,false
tx_000013_7461,cust_2958,2026-09-05 10:41:14Z,133.75,credit_card,electronics,desktop_windows,GB,casey_13@icloud.com,false
tx_000014_5105,cust_4298,2026-08-21 15:05:43Z,130.27,debit_card,beauty_health,desktop_mac,US,riley_14@gmail.com,false
tx_000015_5678,cust_4548,2026-08-20 07:00:34Z,120.4,credit_card,electronics,mobile_ios,FR,morgan_15@outlook.com,false
tx_000016_1757,cust_1187,2026-08-17 22:55:36Z,138.03,credit_card,beauty_health,desktop_windows,IN,taylor_16@yahoo.com,false
tx_000017_2974,cust_1233,2026-08-15 03:53:34Z,157.37,credit_card,beauty_health,desktop_windows,FR,cameron_17@yahoo.com,false
tx_000018_2132,cust_4725,2026-09-05 17:22:55Z,114.77,debit_card,home_living,desktop_windows,AU,sam_18@gmail.com,false
tx_000019_8064,cust_1647,2026-09-07 10:35:13Z,241.91,paypal,beauty_health,desktop_windows,US,morgan_19@gmail.com,false
tx_000020_9846,cust_3402,2026-08-21 12:00:21Z,106.41,paypal,beauty_health,mobile_ios,IN,morgan_20@gmail.com,false
tx_000021_4986,cust_1991,2026-08-18 00:18:17Z,97.29,apple_pay,sports_outdoors,mobile_ios,CA,alex_21@yahoo.com,false
tx_000022_8905,cust_4532,2026-09-14 17:21:40Z,169.9,apple_pay,home_living,mobile_ios,AU,casey_22@gmail.com,false
tx_000023_9141,cust_4493,2026-09-05 19:43:09Z,111.65,debit_card,home_living,desktop_windows,US,sam_23@gmail.com,false
tx_000024_6461,cust_1398,2026-08-13 10:45:32Z,99.93,debit_card,fashion,mobile_ios,DE,sam_24@outlook.com,false
tx_000025_8350,cust_3324,2026-09-05 00:44:16Z,146.15,apple_pay,sports_outdoors,mobile_ios,US,cameron_25@outlook.com,false
tx_000026_2622,cust_2510,2026-08-03 13:51:10Z,120.33,credit_card,beauty_health,mobile_android,AU,jordan_26@outlook.com,false
tx_000027_6346,cust_2037,2026-08-14 15:25:00Z,119.95,apple_pay,electronics,mobile_ios,AU,jordan_27@icloud.com,false
tx_000028_3058,cust_2891,2026-08-03 12:53:58Z,182.39,paypal,sports_outdoors,desktop_windows,FR,jordan_28@outlook.com,false
tx_000029_4337,cust_1117,2026-09-01 07:22:02Z,217.01,apple_pay,home_living,desktop_mac,CA,jordan_29@outlook.com,false
tx_000030_9176,cust_2149,2026-08-04 05:33:45Z,89.51,paypal,fashion,desktop_windows,FR,alex_30@outlook.com,false
tx_000031_7210,cust_4241,2026-09-13 00:00:58Z,159.04,debit_card,fashion,mobile_ios,US,morgan_31@icloud.com,false
tx_000032_1260,cust_3803,2026-08-22 04:56:13Z,84.89,debit_card,home_living,mobile_ios,FR,riley_32@gmail.com,false
